RTF,Weighted Error
1.0,6.121124799879529
0.0,2.392634139242362
0.58,0.004230989287641514
0.0,0.5088737061524377
1.0,2.285479386623259
1.0,0.024414079915060154
1.0,0.4789566059017168
1.0,0.0055859270174339615
0.0,6.560310963292496
0.0,1.4059990537973717
0.0,2.73513548867996
0.0,0.1886683054637751
1.0,1.8828401122280973
1.0,7.9622434649455505
0.0,1.7801803198632113
1.0,7.365866837666826
0.0,3.880894149732264
0.0,0.009978291741437762
0.0,8.566221144731909
0.0,0.024711389007200484
1.0,2.361407284962776
1.0,7.202396676914295
1.0,0.1659821347805538
0.0,6.4471811319545
0.0,1.5564296106573496
0.0,0.1377577396796072
0.0,1.7935626747986644
1.0,2.8843797802370714
1.0,6.1639090049059275
0.0,9.254838309185248
1.0,1.1759636973465044
0.0,9.578210910018887
1.0,0.17434542773513437
0.0,6.9620011960463986
1.0,3.6494239487053335
1.0,4.25697002282832
0.0,5.84113834762447
1.0,3.9348084763979876
0.0,0.23307387848054506
0.0,0.1233744331245317
0.0,0.011400959595824496
0.0,0.017237133397048573
0.0,7.513741155539921
0.0,9.687648405592709
1.0,4.565918556771066
0.33,0.007163316826837494
1.0,1.235820025301925
0.0,4.185482520645288
0.0,0.7504641896830687
0.0,0.4485956250567384
0.0,0.9933951645057293
0.0,2.3693708706856462
1.0,3.3908809765424133
1.0,3.0068467950455875
0.0,7.9140661374656585
1.0,8.309244831668815
1.0,0.39470667663236275
0.0,7.095853835028711
0.0,7.691407879550949
1.0,0.3958730251979203
1.0,1.5064821074866044
0.0,2.752474058405697
0.97,0.002832002731277134
0.14,0.0037706924237418966
1.0,0.006269936610986479
1.0,5.392197175273795
0.0,0.3660777457356818
1.0,3.7433706341840303
1.0,2.0303171873257266
0.0,5.124893634943073
0.0,0.006851788503302129
1.0,9.605844240950042
1.0,2.1151842563292975
0.8,0.0017549338714302797
1.0,5.122286112994642
1.0,2.6434631704791847
0.0,0.06480859863256752
0.8,0.0046999092609006105
0.0,1.7204370106485298
1.0,7.3902940998939775
0.0,1.8189123979563437
0.05,0.005116741849387809
0.92,0.00659905478026598
1.0,5.396144004687049
1.0,8.72921417560645
0.0,2.7522512864625606
0.0,1.0992009923284929
0.0,2.2835605302717705
0.0,7.545632236877714
0.0,0.012783483357904555
